date,Close,Open,High,Low,Change,Change value,press_c,0_percent_c,1_percent_c,2_percent_c,뉴스개수_c,press_f,0_percent_f,1_percent_f,2_percent_f,뉴스개수_f,부정_c,긍정_c,중립_c,부정_f,긍정_f,중립_f
20210927,1177.94,1179.95,1182.46,1173.98,-0.0015,-1.740000000000009,일반언론,0.3108233117483811,0.11840888066604996,0.5707678075855689,1081.0,네이버금융,0.6875,0.25,0.0625,16.0,336.0,128.0,617.0,11.0,4.0,1.0
20210928,1187.16,1177.09,1188.67,1176.37,0.0078,9.220000000000027,일반언론,0.2537313432835821,0.11641791044776119,0.6298507462686567,670.0,네이버금융,0.7333333333333333,0.13333333333333333,0.13333333333333333,15.0,170.0,78.0,422.0,11.0,2.0,2.0
20210929,1187.11,1188.04,1189.26,1181.2,-0.0,-0.0500000000001819,일반언론,0.3022556390977444,0.09924812030075188,0.5984962406015037,665.0,네이버금융,0.8571428571428571,0.07142857142857142,0.07142857142857142,14.0,201.0,66.0,398.0,12.0,1.0,1.0
20210930,1184.23,1187.93,1189.38,1180.22,-0.0024,-2.8799999999998818,일반언론,0.28251748251748254,0.11048951048951049,0.606993006993007,715.0,네이버금융,0.5625,0.375,0.0625,16.0,202.0,79.0,434.0,9.0,6.0,1.0
20211001,1180.35,1184.78,1189.05,1179.2,-0.0033,-3.880000000000109,일반언론,0.26995645863570394,0.07402031930333818,0.6560232220609579,689.0,네이버금융,0.9375,0.0,0.0625,16.0,186.0,51.0,452.0,15.0,0.0,1.0
20211004,1184.12,1179.9,1185.97,1178.41,0.0032,3.769999999999982,,,,,,,,,,,,,,,,
20211005,1186.48,1184.45,1189.12,1183.83,0.002,2.3600000000001278,일반언론,0.2991913746630728,0.11230907457322552,0.5884995507637018,1113.0,네이버금융,0.5,0.2,0.3,20.0,333.0,125.0,655.0,10.0,4.0,6.0
20211006,1190.21,1186.69,1197.94,1185.9,0.0031,3.730000000000018,일반언론,0.3079136690647482,0.11654676258992806,0.5755395683453237,695.0,네이버금융,0.6923076923076923,0.3076923076923077,0.0,13.0,214.0,81.0,400.0,9.0,4.0,0.0
20211007,1190.88,1190.74,1192.08,1188.15,0.0006,0.6700000000000728,일반언론,0.31520223152022314,0.08647140864714087,0.5983263598326359,717.0,네이버금융,0.21428571428571427,0.7857142857142857,0.0,14.0,226.0,62.0,429.0,3.0,11.0,0.0
20211008,1196.79,1191.33,1197.61,1190.35,0.005,5.909999999999855,일반언론,0.2938076416337286,0.11462450592885376,0.5915678524374176,759.0,네이버금융,0.4666666666666667,0.4,0.13333333333333333,15.0,223.0,87.0,449.0,7.0,6.0,2.0
